strong	lemma	description_en	description_ja
473	ἀντί	22   ἀντί    (the ι is elided only in ἀνθ᾽ ὧν), prep. c. gen. (cf. MM, VGT, s.v.);      prop, in local sense, over against, opposite, hence;   instead of, in place of, for (Hom., etc.): Mt 5:38 17:27, Lk 11:11, I Co 11:15, He 12:2; c. artic. inf. (cl.), Ja 4:15; of succession, Mt 2:22; χάριν ἀ. χάριτος, Jo 1:16 (M, Pr., 100); of price in exchange, He 12:16; λύτρον ἀ. πολλῶν, Mt 20:28, Mk 10:45 (M, Pr., 105); of requital, Ro 12:17, I Th 5:15,   I Pe 3:9 (cf. Wi 11:15); ἀνθ᾽ ὧν, because, Lk 1:20 19:44, Ac 12:23, II Th 2:10 (cl., LXX for אֲשֶׁר תַּחַת); id. therefore (cl., LXX), Lk 12:3; ἀ. τούτου (LXX for עַל־כֵּן), Eph 5:31. As a prefix, ἀντι- (before vowels ἀντ-, ἀνθ᾽-), denotes     over against, ἀντιπέραν;     co-operation, ἀντιβάλλειν;     requital, ἀντιμισθία;     opposition, ἀντίχριστος;     substitution, ἀνθύπατος. Compounds of ἀ. usually govern dat. (Bl., § 37, 7).†	【語義】〜の代わりに、〜と引き換えに（前置詞、gen. を伴う）。【用法】①本来の空間的意味：向かい合って。②代わりに（ホメロス等）：マタ 5:38、17:27、ルカ 11:11、コリ一 11:15、ヘブ 12:2；継承の意で：マタ 2:22；「恵みの上に恵み」：ヨハ 1:16；交換の代価：ヘブ 12:16；贖い：マタ 20:28、マコ 10:45；報いの意：ロマ 12:17、テサ一 5:15、ペテ一 3:9；ἀνθ᾽ ὧν（なぜなら）：ルカ 1:20、19:44、使 12:23、テサ二 2:10；（それゆえ）：ルカ 12:3；ἀ. τούτου（このために）：エペ 5:31。【接頭辞として】ἀντι- は（a）向かい合うこと（ἀντιπέραν）、（b）協力（ἀντιβάλλειν）、（c）報いる（ἀντιμισθία）、（d）反対（ἀντίχριστος）、（e）代替（ἀνθύπατος）を表す。
474	ἀντιβάλλω	1   ** ἀντι-βάλλω,    [in LXX: II Mac 11:13*;]    to throw in turn, exchange: metaph., λόγους (cf. Lat. conferre sermones; v. Field, Notes, 81), Lk 24:17.†	【語義】交わす、主고받다する。【七十人訳】マカ二 11:13。【用法】比喩的に、言葉を交わす（λόγους）：ルカ 24:17（ラテン語 conferre sermones に相当）。
475	ἀντιδιατίθημι	1 *† ἀντι-δια-τίθημι,     in mid, to place oneself in opposition, oppose: II Ti 2:25 (EV; but v. Field, Notes, 215 f.; cf. MM, VGT, s.v.).	【語義】反対する、異議を唱える（中動相）。【新約用例】テモ二 2:25（反対する者を柔和に正す）。
476	ἀντίδικος	5   ἀντίδικος, -ον    (< δίκη),   [in LXX for רִיב;]    as subst., an opponent in a lawsuit, adversary: Mt 5:25, Lk 12:58 18:3, I Pe 5:8 (Cremer, 696; MM, VGT, s.v.).†	【語義】訴訟相手、敵対者。【語源】δίκη より。【七十人訳】רִיב に対応。【用法】法廷の相手方、敵：マタ 5:25、ルカ 12:58、18:3、ペテ一 5:8。
477	ἀντίθεσις	1   * ἀντί-θεσις, -εως, ἡ    (< τίθημι),    opposition: I Ti 6:20.†	【語義】反論、矛盾。【語源】τίθημι より。【新約用例】テモ一 6:20（「偽りの知識の反論」）。
478	ἀντικαθίστημι	1   ἀντι-καθ-ίστημι,    [in LXX: De 31:21 (ענה), Jos 5:7, Mi 2:8 (קוּם)*;]      causal in pres. impf. fut. and 1 aor.; to replace, oppose.     Intrans. in pass. and 2 aor. act.;     to supersede;     to resist: He 12:4.†	【語義】対抗する、抵抗する。【七十人訳】申 31:21、ヨシ 5:7、ミカ 2:8。【用法】①使役的：代わりに置く、対抗させる。②自動的：取って代わる；抵抗する：ヘブ 12:4。
479	ἀντικαλέω	1   * ἀντι-καλέω, -ῶ,     to invite in turn: Lk 14:12.†	【語義】招き返す（返礼として招待する）。【新約用例】ルカ 14:12。
480	ἀντίκειμαι	8   ἀντί-κειμαι,    [in LXX for איב, צוּר, שׂטן, etc.;]      to lie opposite to.     to oppose, withstand, resist: c. dat., Lk 13:17 21:15, Ga 5:17, I Ti 1:10; as participial subst. (ὁ) ἀντικείμενος, I Co 16:9, Phl 1:28, II Th 2:4, I Ti 5:14 (Cremer, 746).†	【語義】反対する、敵対する。【七十人訳】איב、צוּר、שׂטן 等に対応。【用法】dat. を伴い、反対する：ルカ 13:17、21:15、ガラ 5:17、テモ一 1:10；分詞名詞的に（ὁ ἀντικείμενος）「反対者」：コリ一 16:9、ピリ 1:28、テサ二 2:4、テモ一 5:14。
481	ἄντικρυς	1   ** ἄντικρυς    (Tr. -ύς, Rec. ἀντικρύ), adv. (< ἀντί),   [in LXX: Ne 12:8 (לְנֶגֶד), III Mac 5:16*;]    in cl., outright; in κοινή (= cl. καταντικρύ), over against: Ac 20:15 (v. Bl., § 5, 4; 40, 7; Rutherford, NPhr., 500 f.; MM, VGT, s.v.).†	【語義】真向かいに（副詞）。【七十人訳】ネヘ 12:8、マカ三 5:16。【用法】古典では「まったく、まさに」；通俗ギリシャ語では「向かい合って、目の前に」：使 20:15。
482	ἀντιλαμβάνω	3 ἀντι-λαμβάνω,    [freq. in LXX for חזק hi., תּמךְ, etc;]      to take instead of or in turn. Mid., c. gen., to take hold of;     of persons, to help (v. MM, VGT, s.v.): Lk 1:54, Ac 20:35;     of things, to partake of: I Ti 6:2 (v. Field, Notes, 210; Cremer, 386; and cf. συν-αντιλαμβάνω).†	【語義】助ける、分かち合う（中動相）。【七十人訳】חזק hi.、תּמךְ 等に対応。【用法】中動相（gen. を伴う）：①人を助ける：ルカ 1:54、使 20:35。②物に与る、分かち合う：テモ一 6:2（cf. συναντιλαμβάνω）。
483	ἀντιλέγω	11   ἀντι-λέγω,    [in LXX: Ho 4:4 (רִיב hi.), Is 50:5 (סוּג ni.) Is 22:22 65:2, Si 4:25, III Mac 2:28, IV Mac 4:7 8:2*;]    contradict, oppose, resist (v. Field, Notes, 106; MM, VGT, s.v.); absol.: Ac 28:19, Ro 10:21, Tit 1:9 2:9; c. dat., Jo 19:12, Ac 13:45; c. acc. et inf., Lk 20:27 T; pass., Lk 2:34, Ac 28:22.†	【語義】反論する、反対する、拒む。【七十人訳】ホセ 4:4、イザ 50:5、22:22、65:2、シラ 4:25、マカ三 2:28、マカ四 4:7、8:2 等。【用法】絶対用法：使 28:19、ロマ 10:21、テト 1:9、2:9；dat.：ヨハ 19:12、使 13:45；ルカ 20:27（T）；受動：ルカ 2:34、使 28:22。
484	ἀντίλημψις	1   ἀντί-λημψις, (Rec. -ληψις; v. MM, VGT s.v.; M, Pr., 56), -εως, ἡ    (< ἀντιλαμβάνομαι),   [in LXX for עֹז, זְרוֹעַ, etc., freq. in Pss and II, III Mac.; freq. also in π. in petitions to the Ptolemies in sense of βοήθεια (v. Deiss., LAE, 107; BS, 92, 223);]      cl. a laying hold of, an exchange.     Hellenistic (LXX, π.) help: pl. of ministrations of deacons; I Co 12:28 (DB, ii, 347 f.; Cremer, 386).†	【語義】助け、援助（ヘレニズム用法）。【語源】ἀντιλαμβάνομαι より。【七十人訳】עֹז、זְרוֹעַ 等に対応；詩篇・マカベア書に頻出；π.（パピルス）ではプトレマイオス朝への請願で「援助」の意。【用法】複数形で執事の奉仕を指す：コリ一 12:28。
485	ἀντιλογία	4   ἀντιλογία, -ας ἡ    (< ἀντιλέγω),   [in LXX chiefly for רִיב;]    gain-saying, strife (the latter sense being found in π.; v. MM, VGT, s.v.; cf. Field, Notes, 106): He 6:16 7:7 12:3, Ju 11.†	【語義】反論、争い。【語源】ἀντιλέγω より。【七十人訳】主に רִיב に対応。【新約用例】ヘブ 6:16、7:7、12:3、ユダ 11。
486	ἀντιλοιδορέω	1   * ἀντι-λοιδορέω, -ῶ,     to revile in turn: I Pe 2:23.†	【語義】ののしり返す。【新約用例】ペテ一 2:23。
487	ἀντίλυτρον	1   **† ἀντί-λυτρον, -ου, τό,    [in Al.: Ps 48 (49):9*;]    a ransom: I Ti 2:6 (v. CGT, in l.; and cf. λύτρον).†	【語義】贖い値、身代金。【七十人訳】アレクサンドリア写本：詩 48:9。【新約用例】テモ一 2:6（cf. λύτρον）。
488	ἀντιμετρέω	1   *† ἀντι-μετρέω, -ῶ,     to measure in return: Lk 6:38 (WH, mg., μετρέω).†	【語義】量り返す、同じ量で返す。【新約用例】ルカ 6:38（WHは欄外に μετρέω）。
489	ἀντιμισθία	2   *† ἀντιμισθία, -ας, ἡ    (< ἀντίμισθος, for a reward),    a reward, requital: in good sense, II Co 6:13; in bad sense, Ro 1:27 (MM, VGT, s.v.).†	【語義】報い、報酬。【語源】ἀντίμισθος（報酬として）より。【用法】①良い報い：コリ二 6:13。②悪い報い（罰）：ロマ 1:27。
490	Ἀντιόχεια	18   Ἀντιόχεια, -ας, ἡ,     Antioch;       in Syria: Ac 11:19, 20, 22, 26, 27 13:1 14:26 15:22, 23, 30, 35 18:22, Ga 2:11.     In Pisidia: Ac 13:14 14:19, 21, II Ti 3:11.†	【地名】アンティオキア。①シリアの：使 11:19、20、22、26、27、13:1、14:26、15:22、23、30、35、18:22、ガラ 2:11。②ピシデアの：使 13:14、14:19、21、テモ二 3:11。
491	Ἀντιοχεύς	1   Ἀντιοχεύς, -έως, ὁ,     a citizen of Antioch, an Antiochian: Ac 6:5.†	【人物】アンティオキア人、アンティオキアの市民：使 6:5。
492	ἀντιπαρέρχομαι	2   **† ἀντι-παρ-έρχομαι,    [in LXX: Wi 16:10*;]    to pass by opposite to: Lk 10:31, 32 (MM, VGT, s.v.).†	【語義】反対側を通り過ぎる。【七十人訳】知 16:10。【新約用例】ルカ 10:31、32。
493	Ἀντίπας	1 Ἀντίπας (T, Ἀντείπας), -α (in some MSS. it appears to be indecl.; but v. M, Pr., 12; it is abbrev. from Ἀντίπατρος), ὁ,   Antipas: Re 2:13.†	【人物】アンティパス（Ἀντίπατρος の短縮形）：黙 2:13。
494	Ἀντιπατρίς	1   Ἀντιπατρίς, -ίδος, ἡ,     Antipatris, bet. Joppa and Caesarea: Ac 23:31.†	【地名】アンティパトリス（ヨッパとカイサリアの間）：使 23:31。
495	ἀντίπερα	1 *† ἀντί-περα (Rec. ἀντιπέραν, LTr. ἀντιπέρα,) adv., = cl. ἀντιπέρας (MM, VGT, 49),     on the opposite side: c. gen., Lk 8:26.†	【語義】向こう岸に（副詞）。= 古典 ἀντιπέρας。gen. を伴う：ルカ 8:26。
496	ἀντιπίπτω	1   ἀντι-πίπτω,    [in LXX: Ex 26:5 (קבל), Ex 26:17 (שׁלב), Nu 27:14 (מְרִיבָה), Jb 23:13 (שׁוּב hi.)*;]      to fall against or upon (Arist., Polyb.).     to strive against, resist (Arist.): c. dat., Ac 7:51.	【語義】抵抗する、逆らう。【七十人訳】出 26:5、17、民 27:14、ヨブ 23:13。【用法】①〜に倒れかかる（アリストテレス、ポリュビオス）。②dat. を伴い抵抗する：使 7:51。
497	ἀντιστρατεύομαι	1   * ἀντι-στρατεύομαι,     to make war against: c. dat., Ro 7:23.†	【語義】〜に対して戦う。【用法】dat. を伴う：ロマ 7:23。
498	ἀντιτάσσω	5   ἀντι-τάσσω (Att., -ττω),    [in LXX for לוּץ hi., נשׂא, etc.;]    to range on battle against; mid., to set oneself against, resist: absol., Ac 18:6; c. dat., Ro 13:2, Ja 4:6 5:6, I Pe 5:5 (MM, VGT, s.v.).†	【語義】反抗する、抵抗する（中動相）。【七十人訳】לוּץ hi.、נשׂא 等に対応。【用法】絶対用法：使 18:6；dat.：ロマ 13:2、ヤコ 4:6、5:6、ペテ一 5:5。
499	ἀντίτυπος	2   ** ἀντί-τυπος, -ον    (v.s. τύπος),   [in LXX: Es 3:13 A*;]      act. striking back; metaph., resisting, adverse.     Pass. struck back; metaph., corresponding to (MM, VGT, s.v.);     as impression of a seal or copy of an archetype (τύπος) (RV, like in pattern), He 9:24;     as the reality (of which τύπος is the copy or adumbration) (RV, after a true likeness), I Pe 3:21 (Cremer, 357).†	【語義】対型、対応するもの。cf. τύπος。【七十人訳】エス 3:13 A。【用法】①能動的：跳ね返す；比喩的に抵抗する。②受動的：打ち返される；比喩的に「対応する」（封印の印影や原型の模写として）：ヘブ 9:24（原型の模型として）；ペテ一 3:21（τύπος の実体として）。
500	ἀντίχριστος	5 *† ἀντί-χριστος, -ον, ὁ,     Antichrist, "one who assuming the guise of Christ opposes Christ" (Westc., Epp. Jo., 70): I Jn 2:18, 22 4:3, II Jn 1:7 pl. I Jn 2:18 (cf. ψευδόχριστος, and v. MM, VGT, s.v.).†	【語義】反キリスト（キリストに対抗するもの、またはキリストに成りすますもの）。【新約用例】ヨハ一 2:18、22、4:3、ヨハ二 7（複数形 ヨハ一 2:18）（cf. ψευδόχριστος）。
501	ἀντλέω	4   ἀντλέω, -ῶ    (< ἄντλος, bilge-water in a hold),   [in LXX for שׁאב, etc.;]      prop., to bale out.   Generally, to draw water: absol., Jo 2:8 4:15; ὕδωρ, Jo 2:9 4:7 (on its use of the water made wine, v. DCG, ii, 815a; MM, VGT, s.v.; Field, Notes, 84 f.).†	【語義】水を汲む。【語源】ἄντλος（船倉の水）より。【七十人訳】שׁאב 等に対応。【用法】本来は水をくみ出す意。一般的に水を汲む：絶対用法（ヨハ 2:8、4:15）；ὕδωρ（水）を伴い（ヨハ 2:9、4:7）。
502	ἄντλημα	1   *† ἄντλημα, -τος, τό    (< ἀντλέω),      prop., what is drawn (Diosc.);     a vessel to draw with, a bucket (Plut.; v. Abbott, Essays, 88): Jo 4:11.†	【語義】水を汲む容器、桶。【語源】ἀντλέω より。【新約用例】ヨハ 4:11（「水を汲む物もなく」）。
503	ἀντοφθαλμέω	1   **† ἀντοφθαλμέω, -ῶ    (ἀντί, ὀφθαλμός),   [in LXX: Wi 12:14*;]    to look in the face, look straight at (Polyb.). Metaph., to face, withstand (Wi 12:14, Polyb.): c. dat., ἀ. τ. ἀνέμῳ, as nautical term, to beat up against the wind (v. DB, ext., 366 f.; MM, VGT, s.v.): Ac 27:15.†	【語義】直視する、まともに向き合う。【語源】ἀντί と ὀφθαλμός より。【七十人訳】知 12:14。【用法】顔を直視する（ポリュビオス）；比喩的に「向き合う、耐える」；航海用語として「風に向かって進む」：使 27:15。
504	ἄνυδρος	4   ἄνυδρος, -ον    (< ἀ- neg., ὕδωρ),   [in LXX for צִיָּה, יְשִׁימוֹן (γῆ ἄ),   etc.;]    waterless: τόποι, Mt 12:43, Lk 11:24; πηγαί, II Pe 2:17; νεφέλαι, Ju 12 (MM, VGT, s.v.).†	【語義】水のない、乾いた。【語源】ὕδωρ の否定形。【七十人訳】צִיָּה、יְשִׁימוֹן 等に対応。【新約用例】「水なき所」（τόποι）マタ 12:43、ルカ 11:24；「水なき泉」（πηγαί）ペテ二 2:17；「水なき雲」（νεφέλαι）ユダ 12。
505	ἀνυπόκριτος	6   ** ἀν-υπόκριτος, -ον    (< ἀ- neg., ὑποκρίνομαι),   [in LXX: Wi 5:18 18:16*;]    unfeigned: Ro 12:9, II Co 6:6, I Ti 1:5, II Ti 1:5, Ja 3:17, I Pe 1:22 (Cremer, 380; MM, VGT, s.v.).†	【語義】偽りのない、純粋な。【語源】ὑποκρίνομαι の否定形。【七十人訳】知 5:18、18:16。【新約用例】ロマ 12:9、コリ二 6:6、テモ一 1:5、テモ二 1:5、ヤコ 3:17、ペテ一 1:22。
506	ἀνυπότακτος	4   **† ἀνυπότακτος, -ον    (< ά- neg., ὑποτάσσω),   [in Sm.: I Ki 2:12 10:27 (for LXX, λοιμός, בּני בליעל)*;]    of things, not subject to rule: He 2:8; of persons, unruly: I Ti 1:9, Tit 1:6, 10 (MM, VGT, s.v.).†	【語義】服従しない、手に負えない。【語源】ὑποτάσσω の否定形。【用法】①物について、支配されていない：ヘブ 2:8。②人について、反抗的な：テモ一 1:9、テト 1:6、10。
507	ἄνω	9   ἄνω,        adv.       (< ἀνά),      up, upwards: Jo 11:41, He 12:15;   above (opp. to κάτω): Ac 2:19; with art. ἡ, Ga 4:26, Phl 3:14; τά, Jo 8:23, Col 3:1, 2; ἕως ἄ. (up to the brim), Jo 2:7 (Cremer, 106; MM, VGT, s.v.).†	【語義】上に、上方へ（副詞）。【語源】ἀνά より。【用法】①上に、上方へ：ヨハ 11:41、ヘブ 12:15。②上（κάτω に対して）：使 2:19；冠詞を伴い：「上なるエルサレム」ガラ 4:26；「上にあるものを」（τά ἄνω）ヨハ 8:23、コロ 3:1、2；「縁の上まで」（ἕως ἄ.）ヨハ 2:7。
509	ἄνωθεν	13   ἄνωθεν        adv,       (< ἄνω),      from above: ἀπὸ ἄ., Mt 27:51, Mk 15:38; ἐκ τῶν ἄ., Jo 19:28; meaning, from heaven: Jo 3:31 19:11, Ja 1:17 3:15, 17 .     from the first, from the beginning: Lk 1:3, Ac 26:5; whence     anew, again: Jo 3:3, 7, (so most, but v. Meyer, in l.; cf. Field, Notes, 86 f.); πάλιν ἄ., Ga 4:9 (MM, VGT, s.v.).†	【語義】上から、初めから、再び（副詞）。【語源】ἄνω より。【用法】①上から：「上から下まで」マタ 27:51、マコ 15:38；ヨハ 19:28；天から：ヨハ 3:31、19:11、ヤコ 1:17、3:15、17。②初めから：ルカ 1:3、使 26:5。③新たに・再び（ほとんどの解釈者はこう理解する）：ヨハ 3:3、7；πάλιν ἄ.（再びもとに戻る）ガラ 4:9。
510	ἀνωτερικός	1   * ἀνωτερικός, -ή, όν    (< ἀνώτερος),    upper: Ac 19:1.†	【語義】内陸の、上の地方の。【語源】ἀνώτερος より。【新約用例】使 19:1（内陸地方を通って）。
511	ἀνώτερος	1   ἀνώτερος, α, -ον,    [in LXX: Ne 3:25 (עֶלְיוֹן), Ez 41:7 (מַעַל), To 8:3*;]     only in neut., as adv. (cf. ἐξώτερος),        of motion, higher: Lk 14:10;     of rest, above, before: He 10:8.†	【語義】より高い（比較形容詞）。【七十人訳】ネヘ 3:25、エゼ 41:7、トビ 8:3。【用法】中性副詞的に：①移動の意で「上の席へ」：ルカ 14:10。②位置の意で「前に」「上に」：ヘブ 10:8。
512	ἀνωφελής	2   ἀν-ωφελής, -ές    (ἀ- neg., ὄφελος),   [in LXX: Is 44:10 (הוֹעִיל בִּלְתִּי), Je 2:8 (הוֹעִיל לֹא), Pr 28:3, Wi 1:11*;]    unprofitable: Tit 3:9; neut. as subst., unprofitableness: He 7:18.†	【語義】益のない、役に立たない。【語源】ὄφελος の否定形。【七十人訳】イザ 44:10、エレ 2:8、箴 28:3、知 1:11。【用法】①益のない：テト 3:9。②中性名詞的に、無益：ヘブ 7:18。
513	ἀξίνη	2 ἀξίνη, -ης, ἡ,    [in LXX for גַּרְזֶן, קַרְדֹּם;]    an axe: Mt 3:10, Lk 3:9.†	【語義】斧。【七十人訳】גַּרְזֶן、קַרְדֹּם に対応。【新約用例】マタ 3:10、ルカ 3:9。
514	ἄξιος	41   ἄξιος, -α, -ον    (< ἄγω, in sense, to weigh),   [in LXX for בֵּן (De 25:2), מָלֵא, שָׁוָה; freq. in Wis, II Mac;]    of weight, worth (often c. gen., cf. Pr 3:15 8:11), seq. πρός: Ro 8:18 (v. Field, Notes, 157);     befitting, meet: c. gen., Mt 3:8, Lk 3:8 23:41, Ac 26:20, I Co 16:4 (v. M, Pr., 216); absol., II Th 1:3;     of persons, worthy;       in good sense: c. gen. rei, Mt 10:10, Lk 7:4 10:7, Ac 13:46, I Ti 1:15 4:9 5:18 6:1; c. aor. inf. (v. M, Pr., 203): Lk 15:19, 21, Ac 13:25, Re 4:11 5:2, 4, 9, 12; seq. ἵνα: Jo 1:27; ὅς, Lk 7:4; absol., but of what understood: Mt 10:11, 13 22:8, Re 3:4; c. gen. pers., Mt 10:37, 38, He 11:38;     in bad sense; c. gen. rei, Lk 12:48 23:15, Ac 23:29 25:11, 25 26:31, Ro 1:32; absol., Re 16:6 (MM, VGT, s.v.).†	【語義】値する、ふさわしい、価値のある。【語源】ἄγω（重さを量る）より。【七十人訳】בֵּן（申 25:2）、מָלֵא、שָׁוָה 等に対応；知・マカ二に頻出。【用法】①重みのある、値する：gen.・πρός を伴い：ロマ 8:18。②ふさわしい、相応な：gen.：マタ 3:8、ルカ 3:8、23:41、使 26:20、コリ一 16:4；絶対用法：テサ二 1:3。③人について「ふさわしい」（好意的）：gen.：マタ 10:10、ルカ 7:4、10:7、使 13:46、テモ一 1:15、4:9、5:18、6:1；不定詞：ルカ 15:19、21、使 13:25、黙 4:11、5:2、4、9、12；ἵνα：ヨハ 1:27；絶対用法：マタ 10:11、13、22:8、黙 3:4。④人について「ふさわしい」（否定的）：ルカ 12:48、23:15、使 23:29、25:11、25、26:31、ロマ 1:32；黙 16:6。
515	ἀξιόω	7   ἀξιόω, -ῶ    (< ἄξιος),   [in LXX chiefly for בּעא, בּקשׁ; freq. in Wi, I, II Mac;]      to deem worthy: c. acc. et inf. (v. MM, VGT, s.v., and cf. κατ-αξιόω), Lk 7:7; id. et gen. rei, II Th 1:11; pass. c. gen. rei, I Ti 5:17, He 3:3 10:29;     to think fit: c. inf. (v. M, Pr., 205), Ac 15:38 28:22.†	【語義】ふさわしいと思う、適当と見なす。【語源】ἄξιος より。【七十人訳】主に בּעא、בּקשׁ；知・マカ書に頻出。【用法】①ふさわしいと思う（acc.と不定詞）：ルカ 7:7；gen.を伴い：テサ二 1:11；受動的に gen.：テモ一 5:17、ヘブ 3:3、10:29。②適当と考える（不定詞）：使 15:38、28:22。
516	ἀξίως	6   ** ἀξίως,        adv.       [in LXX: Wi 7:15 16:1, Si 14:11*;]    worthily: Ro 16:2, Eph 4:1, Phl 1:27; c. gen. (freq. in Inscr.; Deiss., BS, 248; MM, VGT, 51), ἀ. τ. Κυρίου, Col 1:10; τ. θεοῦ I Th 2:12, III Jn 6.†	【語義】ふさわしく、相応に（副詞）。【七十人訳】知 7:15、16:1、シラ 14:11。【新約用例】ロマ 16:2、エペ 4:1、ピリ 1:27；gen.を伴い：ἀ. τ. κυρίου（主にふさわしく）コロ 1:10、τ. θεοῦ（神にふさわしく）テサ一 2:12、ヨハ三 6。
517	ἀόρατος	5   ἀόρατος, -ον    (< ὁράω),   [in LXX: Ge 1:2 (תֹּהוּ), Is 45:3 (מִסְתָּר), II Mac 9:5*;]    unseen, invisible: Ro 1:20, Col 1:15, 16, I Ti 1:17, He 11:27.†	【語義】見えない、不可視の。【語源】ὁράω の否定形。【七十人訳】創 1:2、イザ 45:3、マカ二 9:5。【新約用例】ロマ 1:20、コロ 1:15、16、テモ一 1:17、ヘブ 11:27。
518	ἀπαγγέλλω	45   ἀπ-αγγέλλω,    [in LXX chiefly for נגד hi.;]    of a messenger, speaker, or writer, to report, announce, declare: c. acc. rei, Ac 4:23, al.; c. dat. pers., Mt 2:8, al.; seq. ὅτι, Lk 18:37; πῶς, Lk 8:36; περί, Lk 7:18 13:1, Ac 28:21, I Th 1:9; λέγων, Ac 22:26; c. acc. et inf., Ac 12:14; seq. εἰς, Mk 5:14, Lk 8:34 (MM, VGT, s.v.; Cremer, 25).	【語義】告げる、報告する、宣べ伝える。【七十人訳】主に נגד hi. に対応。【用法】使者・語り手・著者として報告する；acc.：使 4:23 等；dat.：マタ 2:8 等；ὅτi：ルカ 18:37；πῶς：ルカ 8:36；περί：ルカ 7:18、13:1、使 28:21、テサ一 1:9；c. acc. et inf.：使 12:14；seq. εἰς：マコ 5:14、ルカ 8:34。
519	ἀπάγχω	1 ἀπ-άγχω    (< ἄγχω, to press, strangle),   [in LXX: II Ki 17:23 (חנק), To 3:10*;]    to strangle; mid., to hang oneself (or, to choke; v. M, Pr., 155): Mt 27:5.†	【語義】絞め殺す；中動相、自分を絞め殺す（首をつる）。【語源】ἄγχω（絞める）より。【七十人訳】サム二 17:23、トビ 3:10。【新約用例】マタ 27:5。
520	ἀπάγω	16   ἀπ-άγω,    [in LXX for נהג, הלךְ hi., etc.;]    to lead away: Lk 13:15, Ac 23:17 24:7 (R, mg.), I Co 12:2; esp. of leading to trial (so as law term in Attic), prison and death (MM, VGT, s.v.): Mt 26:57 27:2, 31, Mk 14:44, 53 15:16, Lk 21:12 22:66 23:26, Ac 12:19; of the direction of a way: Mt 7:13, 14 (cf. συν-απ-άγω).†	【語義】連れて行く、引き連れる。【七十人訳】נהג、הלךְ hi. 等に対応。【用法】①連れて行く：ルカ 13:15、使 23:17、コリ一 12:2。②特に裁判・監獄・死刑に向けて（法律用語として）：マタ 26:57、27:2、31、マコ 14:44、53、15:16、ルカ 21:12、22:66、23:26、使 12:19。③道の方向を示す：マタ 7:13、14（cf. συναπάγω）。
521	ἀπαίδευτος	1   ἀ-παίδευτος, -ον    (< παιδεύω),   [in LXX for כְּסִיל, etc., chiefly in Wi. lit.;]    uninstructed, ignorant: II Ti 2:23.†	【語義】無学な、無知な。【語源】παιδεύω の否定形。【七十人訳】כְּסִיל 等（主に知恵文学）に対応。【新約用例】テモ二 2:23（愚かな議論）。
522	ἀπαίρω	22   ἀπ-αίρω,    [in LXX chiefly for נסע;]    to lift off, hence, to take away; pass.: Mt 9:15, Mk 2:20, Lk 5:35.†	【語義】取り去られる（受動的）。【七十人訳】主に נסע に対応。【新約用例】マタ 9:15、マコ 2:20、ルカ 5:35（花婿が取り去られるとき）。
523	ἀπαιτέω	4   ἀπ-αιτέω, -ῶ,    [in LXX: De 15:2, 3, al. (נגשׂ), Si 20:15, Wi 15:8, al.;]    to ask back, demand back: Lk 6:30 12:20 (MM, VGT, s.v.).†	【語義】返還を求める、要求する。【七十人訳】申 15:2、3、シラ 20:15、知 15:8 等。【新約用例】ルカ 6:30、12:20（「あなたの魂を取り去る」）。
524	ἀπαλγέω	1   * ἀπ-αλγέω, -ῶ,     prop., to cease to feel pain for (Thuc., ii, 61).     In late Gk.     to despair (Polyb., i, 35, 5);     to become callous, reckless (Polyb., xvi, 12, 7; MM, VGT, s.v.): Eph 4:19.†	【語義】感覚を失う、無感覚になる。【用法】本来「苦痛を感じなくなる」（トゥキュディデス）；後期ギリシャ語で「絶望する」（ポリュビオス）；「無感覚になる、投げやりになる」：エペ 4:19。
525	ἀπαλλάσσω	3   ἀπ-αλλάσσω,    [in LXX for סוּר hi., etc.;]    to remove, release: He 2:15; pass., to depart: Ac 19:12; in legal sense (MM, VGT, s.v.), seq. ἀπό, c. gen. pers., to be quit of: Lk 12:58 (Cremer, 90, 632).†	【語義】解放する；立ち去る；（法的に）和解する。【七十人訳】סוּר hi. 等に対応。【用法】①解放する：ヘブ 2:15。②受動的に、立ち去る：使 19:12。③法律用語として、ἀπό c.gen.：和解する：ルカ 12:58。
526	ἀπαλλοτριόω	3 ἀπ-αλλοτριόω, -ῶ,    [in LXX for זוּר, נזר, etc.;]    to alienate, estrange; pass.: Eph 2:12 4:18, Col 1:21 (MM, VGT, s.v.; Cremer, 95, 633).†	【語義】疎遠にする、切り離す（受動的）。【七十人訳】זוּר、נזר 等に対応。【用法】受動的：エペ 2:12、4:18、コロ 1:21。
527	ἀπαλός	2 ἀπαλός, -ή, -όν,    [in LXX for רַךְ;]    tender: Mt 24:32, Mk 13:28.†	【語義】柔らかい、やわらかな。【七十人訳】רַךְ に対応。【新約用例】マタ 24:32、マコ 13:28（「枝が柔らかくなると」）。
528	ἀπαντάω	7   ἀπαντάω, -ῶ,    [in LXX chiefly for פּגע;]      to go to meet.     to meet; c. dat.: Mk 14:13, Lk 17:12 (WH, mg., ὑπ-; in Rec. freq. as v.1. for ὑπ-, q.v.).†	【語義】出迎える、会う。【七十人訳】主に פּגע に対応。【用法】dat. を伴う：マコ 14:13、ルカ 17:12（WHは欄外に ὑπ-）。
